sample,image_path,mask_path,softness_score,width_q50,width_q90,mean_reliability,reliable_profiles,candidate_profiles,valid_profile_ratio,group
66793279te,data/SBU-shadow/SBU-Test/ShadowImages/66793279te.jpg,data/SBU-shadow/SBU-Test/ShadowMasks/66793279te.png,29.4988703452401,12.535647670342232,36.80183016219584,0.21527845928212627,120,273,0.43956043956043955,soft
h29_1,data/SBU-shadow/SBU-Test/ShadowImages/h29_1.jpg,data/SBU-shadow/SBU-Test/ShadowMasks/h29_1.png,25.19485979239039,21.23594949318602,40.2438763367295,0.034162610673991456,14,51,0.27450980392156865,soft
Brick_wall_in_shadow_and_light1,data/SBU-shadow/SBU-Test/ShadowImages/Brick_wall_in_shadow_and_light1.jpg,data/SBU-shadow/SBU-Test/ShadowMasks/Brick_wall_in_shadow_and_light1.png,21.32396189308335,10.842069970401948,28.0634278315176,0.07935839736101206,66,242,0.2727272727272727,soft
h83_1,data/SBU-shadow/SBU-Test/ShadowImages/h83_1.jpg,data/SBU-shadow/SBU-Test/ShadowMasks/h83_1.png,19.401262678130337,15.34465692262055,23.781908679638097,0.08635882123780902,88,114,0.7719298245614035,soft
4076135745_5f639e7916l,data/SBU-shadow/SBU-Test/ShadowImages/4076135745_5f639e7916l.jpg,data/SBU-shadow/SBU-Test/ShadowMasks/4076135745_5f639e7916l.png,19.101082325093266,16.188848538143393,29.64782194571506,0.12816767032477183,112,188,0.5957446808510638,soft
h86_1,data/SBU-shadow/SBU-Test/ShadowImages/h86_1.jpg,data/SBU-shadow/SBU-Test/ShadowMasks/h86_1.png,18.87659111626049,9.97982507055987,29.35356261038781,0.07029353400514193,88,179,0.49162011173184356,soft
h38_2,data/SBU-shadow/SBU-Test/ShadowImages/h38_2.jpg,data/SBU-shadow/SBU-Test/ShadowMasks/h38_2.png,18.28183660644473,10.672281499057195,23.4563561018756,0.05145282700388013,86,113,0.7610619469026548,soft
6163278,data/SBU-shadow/SBU-Test/ShadowImages/6163278.jpg,data/SBU-shadow/SBU-Test/ShadowMasks/6163278.png,17.930764798960734,7.708352348049604,24.234718494207915,0.11630363897996215,184,508,0.36220472440944884,soft
i-396229,data/SBU-shadow/SBU-Test/ShadowImages/i-396229.jpg,data/SBU-shadow/SBU-Test/ShadowMasks/i-396229.png,17.622651146845822,10.661629653068996,21.165806515103803,0.1213634543520852,65,85,0.7647058823529411,soft
RJW01princeton1152x870,data/SBU-shadow/SBU-Test/ShadowImages/RJW01princeton1152x870.jpg,data/SBU-shadow/SBU-Test/ShadowMasks/RJW01princeton1152x870.png,17.383070100316406,13.702961678116488,21.943781140320368,0.11622928669833603,212,245,0.8653061224489796,soft
P2180419te,data/SBU-shadow/SBU-Test/ShadowImages/P2180419te.jpg,data/SBU-shadow/SBU-Test/ShadowMasks/P2180419te.png,17.346547740852454,12.91309429917209,21.053104801210804,0.1710758482243156,89,153,0.5816993464052288,soft
COCO_train2014_000000010719,data/SBU-shadow/SBU-Test/ShadowImages/COCO_train2014_000000010719.jpg,data/SBU-shadow/SBU-Test/ShadowMasks/COCO_train2014_000000010719.png,16.934346608475487,7.307168711643479,24.375456382135688,0.10709704307914197,83,232,0.3577586206896552,soft
h64_3,data/SBU-shadow/SBU-Test/ShadowImages/h64_3.jpg,data/SBU-shadow/SBU-Test/ShadowMasks/h64_3.png,16.69987926782794,12.840226671508992,19.748209250716915,0.18865821002032565,106,123,0.8617886178861789,soft
h65_1,data/SBU-shadow/SBU-Test/ShadowImages/h65_1.jpg,data/SBU-shadow/SBU-Test/ShadowMasks/h65_1.png,16.636957033590765,8.289132367730204,26.8917803070481,0.16725502002038303,184,350,0.5257142857142857,soft
COCO_train2014_000000015409,data/SBU-shadow/SBU-Test/ShadowImages/COCO_train2014_000000015409.jpg,data/SBU-shadow/SBU-Test/ShadowMasks/COCO_train2014_000000015409.png,16.618250903164437,3.9379743042084527,23.644016402428193,0.20022718968551395,200,411,0.48661800486618007,soft
h46_1,data/SBU-shadow/SBU-Test/ShadowImages/h46_1.jpg,data/SBU-shadow/SBU-Test/ShadowMasks/h46_1.png,16.468216016024233,12.932596402449256,20.91528844907665,0.07777897125324383,84,114,0.7368421052631579,soft
somerset-garden-yurt-and-gypsy-caravan-large,data/SBU-shadow/SBU-Test/ShadowImages/somerset-garden-yurt-and-gypsy-caravan-large.jpg,data/SBU-shadow/SBU-Test/ShadowMasks/somerset-garden-yurt-and-gypsy-caravan-large.png,16.456865583947465,6.143793667791245,25.222890679607907,0.11988262138179885,216,455,0.4747252747252747,soft
Lake-Champlain-53-00-105911te,data/SBU-shadow/SBU-Test/ShadowImages/Lake-Champlain-53-00-105911te.jpg,data/SBU-shadow/SBU-Test/ShadowMasks/Lake-Champlain-53-00-105911te.png,16.418530884388318,4.214651127181962,18.66239598633542,0.09372072239570758,85,133,0.6390977443609023,soft
IMG_0888,data/SBU-shadow/SBU-Test/ShadowImages/IMG_0888.jpg,data/SBU-shadow/SBU-Test/ShadowMasks/IMG_0888.png,16.386610916675735,9.731468027737954,20.474952897713067,0.07076161937761637,52,68,0.7647058823529411,soft
87563,data/SBU-shadow/SBU-Test/ShadowImages/87563.jpg,data/SBU-shadow/SBU-Test/ShadowMasks/87563.png,16.21854117224919,9.730773015932206,25.95770102675455,0.13132466170886048,107,169,0.6331360946745562,soft
